Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-05-22 08:41:47,false,"Austin Running","5.21","719","00:57:32","153","182","3.4","151","236","11:03","6:13","89","139","0.97","0.0","0.0","0","11:05","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","66.2","0:00","No","01:30.17.1","6","0.0","34","20","41","00:57:20","00:57:32","436","542"
Running,2022-05-20 14:26:48,false,"Running","0.00","--","00:00:02.8","79","87","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","84.2","0:00","No","00:02.76","1","0.0","--","--","--","00:00:00","00:00:14.3","537","538"
Running,2022-05-15 18:10:00,false,"Austin Running","0.01","--","00:00:22.5","72","73","--","--","--","40:53","19:42","--","--","0.00","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.09.6","3","0.0","--","--","--","00:00:01","00:01:20.7","533","533"
Running,2022-05-15 08:15:35,false,"Austin - Run","6.20","857","01:11:44","150","171","--","144","226","11:34","6:17","141","141","0.97","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","8","0.0","--","--","--","01:11:26","01:11:44","433","536"
Running,2022-05-13 12:30:47,false,"Austin Running","0.49","96","00:13:16","108","145","--","62","157","26:54","8:29","131","20","0.96","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:16.00.7","1","0.0","--","--","--","00:06:45","00:13:16","538","555"
Running,2022-05-11 11:35:43,false,"Austin Running","2.97","415","00:32:40","150","166","--","146","162","10:59","5:15","138","131","1.01","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:14.71.1","3","0.0","--","--","--","00:32:21","00:33:42","511","598"
Running,2022-05-08 09:37:49,false,"Austin - Run","5.15","757","00:56:14","162","184","--","139","162","10:55","6:36","95","125","1.06","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","7","0.0","--","--","--","00:54:49","00:56:14","465","552"
Running,2022-05-05 15:28:44,false,"Austin - Speed Repeats","3.41","602","00:49:41","153","182","--","98","198","14:34","5:52","108","95","1.07","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:30.00","14","0.0","--","--","--","00:35:42","00:49:41","498","554"
Running,2022-05-04 16:59:44,false,"Austin Running","0.59","93","00:07:24.0","156","169","--","133","153","12:36","9:24","20","--","0.96","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:23.98.9","1","0.0","--","--","--","00:07:23","00:07:24.0","512","533"
Running,2022-05-04 16:50:08,false,"Austin - Benchmark Run","0.85","118","00:09:00","145","186","--","122","203","10:35","6:54","--","26","1.19","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:00.00","3","0.0","--","--","--","00:08:44","00:09:00","504","533"
Running,2022-05-01 11:11:45,false,"Austin Running","3.16","468","00:42:28","148","166","--","132","206","13:27","6:28","171","75","0.91","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:20.31.9","4","0.0","--","--","--","00:40:51","00:42:30","476","547"
Running,2022-04-26 17:42:09,false,"Austin Running","1.99","293","00:20:10","170","189","--","131","239","10:08","3:31","36","30","1.20","0.0","0.0","0","--","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:30.54.1","2","0.0","--","--","--","00:20:04","00:20:10","502","543"
